game_id,season,season_type,team_id,team_tricode,minutes,pts,reb,ast,stl,blk,tov,fga,fgm,fg3a,fg3m,fta,ftm,plus_minus,source
0022500001,2025-26,Regular Season,1610612760,OKC,290.0,125,49,29,12,4,11,104,46,52,13,25,20,0,cdn
0022500001,2025-26,Regular Season,1610612745,HOU,290.0,124,73,23,6,5,22,97,43,39,11,31,27,0,cdn
0022500002,2025-26,Regular Season,1610612747,LAL,240.0,109,49,23,7,2,19,77,42,32,8,28,17,0,cdn
0022500002,2025-26,Regular Season,1610612744,GSW,240.0,119,41,29,10,4,18,78,38,40,17,29,26,0,cdn
0022500003,2025-26,Regular Season,1610612752,NYK,240.0,119,58,22,8,4,13,86,37,40,14,36,31,0,cdn
0022500003,2025-26,Regular Season,1610612739,CLE,240.0,111,50,21,8,4,15,86,40,46,19,18,12,0,cdn
0022500004,2025-26,Regular Season,1610612742,DAL,240.0,92,47,20,5,3,16,83,31,21,9,26,21,0,cdn
0022500004,2025-26,Regular Season,1610612759,SAS,240.0,125,60,24,10,5,14,87,50,20,8,28,17,0,cdn
0022500005,2025-26,Regular Season,1610612754,IND,290.0,135,65,21,6,4,14,105,46,43,13,40,30,0,cdn
0022500005,2025-26,Regular Season,1610612760,OKC,290.0,141,64,17,6,2,14,95,43,35,10,51,45,0,cdn
0022500006,2025-26,Regular Season,1610612744,GSW,265.0,137,52,33,11,3,8,99,50,47,18,25,19,0,cdn
0022500006,2025-26,Regular Season,1610612743,DEN,265.0,131,49,32,8,4,13,95,51,40,16,14,13,0,cdn
0022500007,2025-26,Regular Season,1610612765,DET,240.0,95,60,20,12,4,25,87,33,34,11,27,18,0,cdn
0022500007,2025-26,Regular Season,1610612739,CLE,240.0,116,58,25,11,4,19,85,39,35,11,35,27,0,cdn
0022500008,2025-26,Regular Season,1610612750,MIN,240.0,114,43,19,8,9,14,85,40,32,10,29,24,0,cdn
0022500008,2025-26,Regular Season,1610612743,DEN,240.0,127,54,24,5,4,12,88,46,26,13,25,22,0,cdn
0022500009,2025-26,Regular Season,1610612752,NYK,240.0,126,51,28,9,4,13,94,44,44,21,22,17,0,cdn
0022500009,2025-26,Regular Season,1610612739,CLE,240.0,124,51,30,7,0,14,86,45,34,15,23,19,0,cdn
0022500010,2025-26,Regular Season,1610612760,OKC,240.0,102,57,23,7,6,7,95,37,44,11,25,17,0,cdn
0022500010,2025-26,Regular Season,1610612759,SAS,240.0,117,54,20,3,4,12,84,45,29,11,21,16,0,cdn
0022500011,2025-26,Regular Season,1610612744,GSW,240.0,126,55,33,9,4,11,99,44,50,14,26,24,0,cdn
0022500011,2025-26,Regular Season,1610612742,DAL,240.0,116,50,18,5,5,11,89,49,14,4,21,14,0,cdn
0022500012,2025-26,Regular Season,1610612747,LAL,240.0,96,31,19,7,5,16,77,39,30,11,11,7,0,cdn
0022500012,2025-26,Regular Season,1610612745,HOU,240.0,119,58,24,10,6,15,90,48,24,8,19,15,0,cdn
0022500013,2025-26,Regular Season,1610612743,DEN,265.0,142,62,31,6,5,17,101,47,43,19,32,29,0,cdn
0022500013,2025-26,Regular Season,1610612750,MIN,265.0,138,55,31,10,12,13,104,51,45,12,30,24,0,cdn
0022500014,2025-26,Regular Season,1610612737,ATL,240.0,110,57,33,9,6,10,96,39,42,12,24,20,0,cdn
0022500014,2025-26,Regular Season,1610612749,MIL,240.0,112,53,24,8,6,13,79,39,36,16,25,18,0,cdn
0022500015,2025-26,Regular Season,1610612739,CLE,240.0,104,61,20,8,5,21,91,34,35,8,35,28,0,cdn
0022500015,2025-26,Regular Season,1610612760,OKC,240.0,136,50,32,11,6,11,90,50,47,23,20,13,0,cdn
0022500016,2025-26,Regular Season,1610612752,NYK,240.0,97,57,22,10,5,17,95,38,31,9,20,12,0,cdn
0022500016,2025-26,Regular Season,1610612742,DAL,240.0,114,59,25,9,5,17,82,40,32,15,28,19,0,cdn
0022500017,2025-26,Regular Season,1610612765,DET,240.0,104,53,24,9,9,8,88,38,35,11,23,17,0,cdn
0022500017,2025-26,Regular Season,1610612738,BOS,240.0,103,60,13,7,4,14,83,33,41,13,30,24,0,cdn
0022500018,2025-26,Regular Season,1610612752,NYK,240.0,105,65,23,7,4,15,86,33,45,17,25,22,0,cdn
0022500018,2025-26,Regular Season,1610612738,BOS,240.0,95,43,19,10,7,15,82,35,44,15,15,10,0,cdn
0022500019,2025-26,Regular Season,1610612747,LAL,240.0,128,44,26,6,3,10,76,45,29,12,32,26,0,cdn
0022500019,2025-26,Regular Season,1610612750,MIN,240.0,110,46,24,4,3,12,88,41,38,13,21,15,0,cdn
0022500020,2025-26,Regular Season,1610612754,IND,240.0,108,61,23,6,3,12,99,35,47,13,33,25,0,cdn
0022500020,2025-26,Regular Season,1610612737,ATL,240.0,128,58,30,10,5,10,94,51,30,10,20,16,0,cdn
0022500021,2025-26,Regular Season,1610612755,PHI,240.0,108,55,27,6,7,18,78,37,34,13,29,21,0,cdn
0022500021,2025-26,Regular Season,1610612738,BOS,240.0,109,56,26,8,7,9,101,44,45,14,12,7,0,cdn
0022500022,2025-26,Regular Season,1610612739,CLE,240.0,101,53,24,10,10,13,90,36,46,14,23,15,0,cdn
0022500022,2025-26,Regular Season,1610612761,TOR,240.0,112,56,27,9,4,16,82,40,30,13,24,19,0,cdn
0022500023,2025-26,Regular Season,1610612741,CHI,240.0,135,52,31,8,6,7,84,45,37,17,35,28,0,cdn
0022500023,2025-26,Regular Season,1610612752,NYK,240.0,125,46,27,3,5,12,91,45,45,18,23,17,0,cdn
