game_id,season,season_type,date_utc,home_team_id,away_team_id,final_score_home,final_score_away,status,source,fetched_at_utc
0022500702,2025-26,Regular Season,2026-02-01T20:30:00Z,1610612738,1610612749,107,79,FINAL,cdn,2026-02-04T16:12:01.659874+00:00
0022500703,2025-26,Regular Season,2026-02-02T02:00:00Z,1610612759,1610612753,112,103,FINAL,cdn,2026-02-04T16:13:26.588599+00:00
0022500704,2025-26,Regular Season,2026-02-01T23:00:00Z,1610612765,1610612751,130,77,FINAL,cdn,2026-02-04T16:14:51.340264+00:00
0022500705,2025-26,Regular Season,2026-02-01T23:00:00Z,1610612748,1610612741,134,91,FINAL,cdn,2026-02-04T16:16:16.037085+00:00
0022500706,2025-26,Regular Season,2026-02-01T23:00:00Z,1610612761,1610612762,107,100,FINAL,cdn,2026-02-04T16:17:29.964790+00:00
0022500707,2025-26,Regular Season,2026-02-01T23:00:00Z,1610612764,1610612758,116,112,FINAL,cdn,2026-02-04T16:18:54.745183+00:00
0022500708,2025-26,Regular Season,2026-02-02T00:00:00Z,1610612752,1610612747,112,100,FINAL,cdn,2026-02-04T16:20:19.467349+00:00
0022500709,2025-26,Regular Season,2026-02-02T01:00:00Z,1610612756,1610612746,93,117,FINAL,cdn,2026-02-04T16:21:44.238227+00:00
0022500710,2025-26,Regular Season,2026-02-02T02:00:00Z,1610612757,1610612739,111,130,FINAL,cdn,2026-02-04T16:23:19.798548+00:00
0022500711,2025-26,Regular Season,2026-02-02T02:30:00Z,1610612743,1610612760,111,121,FINAL,cdn,2026-02-04T16:24:44.512702+00:00
0022500712,2025-26,Regular Season,2026-02-02T20:00:00Z,1610612766,1610612740,102,95,FINAL,cdn,2026-02-04T16:26:09.294889+00:00
0022500713,2025-26,Regular Season,2026-02-03T00:00:00Z,1610612754,1610612745,114,118,FINAL,cdn,2026-02-04T16:27:44.857499+00:00
0022500714,2025-26,Regular Season,2026-02-03T00:30:00Z,1610612763,1610612750,137,128,FINAL,cdn,2026-02-04T16:29:09.665884+00:00
0022500715,2025-26,Regular Season,2026-02-03T03:00:00Z,1610612746,1610612755,113,128,FINAL,cdn,2026-02-04T16:30:45.217576+00:00
0022500716,2025-26,Regular Season,2026-02-04T00:00:00Z,1610612765,1610612743,124,121,FINAL,cdn,2026-02-04T16:32:20.830244+00:00
0022500717,2025-26,Regular Season,2026-02-04T00:00:00Z,1610612754,1610612762,122,131,FINAL,cdn,2026-02-04T16:33:45.669027+00:00
0022500718,2025-26,Regular Season,2026-02-04T00:00:00Z,1610612764,1610612752,101,132,FINAL,cdn,2026-02-04T16:35:21.295919+00:00
0022500719,2025-26,Regular Season,2026-02-04T00:30:00Z,1610612751,1610612747,109,125,FINAL,cdn,2026-02-04T16:36:48.462549+00:00
0022500720,2025-26,Regular Season,2026-02-04T00:30:00Z,1610612748,1610612737,115,127,FINAL,cdn,2026-02-04T16:38:24.062234+00:00
