game_id,season,season_type,team_id,team_tricode,minutes,pts,reb,ast,stl,blk,tov,fga,fgm,fg3a,fg3m,fta,ftm,plus_minus,source,fetched_at_utc
0022500702,2025-26,Regular Season,1610612738,BOS,240.0,107,61,24,4,2,9,92,41,42,15,13,10,0,cdn,2026-02-04T16:12:01.659874+00:00
0022500702,2025-26,Regular Season,1610612749,MIL,240.0,79,50,17,5,0,10,82,29,34,10,15,11,0,cdn,2026-02-04T16:12:01.659874+00:00
0022500703,2025-26,Regular Season,1610612759,SAS,240.0,112,61,27,8,6,15,82,41,29,8,32,22,0,cdn,2026-02-04T16:13:26.588599+00:00
0022500703,2025-26,Regular Season,1610612753,ORL,240.0,103,44,24,11,1,13,91,40,30,10,15,13,0,cdn,2026-02-04T16:13:26.588599+00:00
0022500704,2025-26,Regular Season,1610612765,DET,240.0,130,48,33,17,6,6,85,48,32,12,29,22,0,cdn,2026-02-04T16:14:51.340264+00:00
0022500704,2025-26,Regular Season,1610612751,BKN,240.0,77,50,17,3,2,23,73,24,31,7,27,22,0,cdn,2026-02-04T16:14:51.340264+00:00
0022500705,2025-26,Regular Season,1610612748,MIA,240.0,134,63,44,8,5,8,107,54,38,14,17,12,0,cdn,2026-02-04T16:16:16.037085+00:00
0022500705,2025-26,Regular Season,1610612741,CHI,240.0,91,59,18,5,6,18,87,28,41,6,34,29,0,cdn,2026-02-04T16:16:16.037085+00:00
0022500706,2025-26,Regular Season,1610612761,TOR,240.0,107,50,22,11,8,16,84,35,35,12,30,25,0,cdn,2026-02-04T16:17:29.964790+00:00
0022500706,2025-26,Regular Season,1610612762,UTA,240.0,100,68,20,10,6,22,90,32,36,8,34,28,0,cdn,2026-02-04T16:17:29.964790+00:00
0022500707,2025-26,Regular Season,1610612764,WAS,240.0,116,54,31,10,4,17,88,46,31,13,15,11,0,cdn,2026-02-04T16:18:54.745183+00:00
0022500707,2025-26,Regular Season,1610612758,SAC,240.0,112,44,21,9,8,14,84,39,21,8,29,26,0,cdn,2026-02-04T16:18:54.745183+00:00
0022500708,2025-26,Regular Season,1610612752,NYK,240.0,112,53,30,7,2,7,91,43,42,18,11,8,0,cdn,2026-02-04T16:20:19.467349+00:00
0022500708,2025-26,Regular Season,1610612747,LAL,240.0,100,53,21,5,3,10,84,38,42,12,19,12,0,cdn,2026-02-04T16:20:19.467349+00:00
0022500709,2025-26,Regular Season,1610612756,PHX,240.0,93,41,21,7,4,4,93,31,46,19,18,12,0,cdn,2026-02-04T16:21:44.238227+00:00
0022500709,2025-26,Regular Season,1610612746,LAC,240.0,117,82,25,2,3,17,83,43,24,9,34,22,0,cdn,2026-02-04T16:21:44.238227+00:00
0022500710,2025-26,Regular Season,1610612757,POR,240.0,111,58,24,7,5,22,98,44,44,14,12,9,0,cdn,2026-02-04T16:23:19.798548+00:00
0022500710,2025-26,Regular Season,1610612739,CLE,240.0,130,46,41,15,7,13,91,50,34,16,19,14,0,cdn,2026-02-04T16:23:19.798548+00:00
0022500711,2025-26,Regular Season,1610612743,DEN,240.0,111,52,29,9,4,17,79,39,35,16,24,17,0,cdn,2026-02-04T16:24:44.512702+00:00
0022500711,2025-26,Regular Season,1610612760,OKC,240.0,121,46,23,12,6,13,85,40,48,19,27,22,0,cdn,2026-02-04T16:24:44.512702+00:00
0022500712,2025-26,Regular Season,1610612766,CHA,240.0,102,70,16,3,3,16,85,34,50,12,27,22,0,cdn,2026-02-04T16:26:09.294889+00:00
0022500712,2025-26,Regular Season,1610612740,NOP,240.0,95,46,23,9,4,7,84,33,34,11,25,18,0,cdn,2026-02-04T16:26:09.294889+00:00
0022500713,2025-26,Regular Season,1610612754,IND,240.0,114,38,33,10,6,10,87,43,26,12,21,16,0,cdn,2026-02-04T16:27:44.857499+00:00
0022500713,2025-26,Regular Season,1610612745,HOU,240.0,118,65,21,7,6,15,87,40,22,7,37,31,0,cdn,2026-02-04T16:27:44.857499+00:00
0022500714,2025-26,Regular Season,1610612763,MEM,240.0,137,56,31,5,2,9,88,44,41,19,35,30,0,cdn,2026-02-04T16:29:09.665884+00:00
0022500714,2025-26,Regular Season,1610612750,MIN,240.0,128,50,24,4,7,9,90,44,41,16,31,24,0,cdn,2026-02-04T16:29:09.665884+00:00
0022500715,2025-26,Regular Season,1610612746,LAC,240.0,113,44,24,4,2,14,78,46,26,9,20,12,0,cdn,2026-02-04T16:30:45.217576+00:00
0022500715,2025-26,Regular Season,1610612755,PHI,240.0,128,48,31,8,3,5,94,45,39,17,22,21,0,cdn,2026-02-04T16:30:45.217576+00:00
0022500716,2025-26,Regular Season,1610612765,DET,240.0,124,56,27,9,4,9,94,43,29,12,30,26,0,cdn,2026-02-04T16:32:20.830244+00:00
0022500716,2025-26,Regular Season,1610612743,DEN,240.0,121,51,20,7,10,10,83,37,30,10,43,37,0,cdn,2026-02-04T16:32:20.830244+00:00
0022500717,2025-26,Regular Season,1610612754,IND,240.0,122,49,33,6,2,15,84,45,39,14,27,18,0,cdn,2026-02-04T16:33:45.669027+00:00
0022500717,2025-26,Regular Season,1610612762,UTA,240.0,131,45,38,13,4,9,88,50,29,13,26,18,0,cdn,2026-02-04T16:33:45.669027+00:00
0022500718,2025-26,Regular Season,1610612764,WAS,240.0,101,57,19,6,3,13,86,35,31,11,32,20,0,cdn,2026-02-04T16:35:21.295919+00:00
