game_id,season,season_type,game_date
0022500702,2025-26,Regular Season,2026-02-01
0022500703,2025-26,Regular Season,2026-02-01
0022500704,2025-26,Regular Season,2026-02-01
0022500705,2025-26,Regular Season,2026-02-01
0022500706,2025-26,Regular Season,2026-02-01
0022500707,2025-26,Regular Season,2026-02-01
0022500708,2025-26,Regular Season,2026-02-01
0022500709,2025-26,Regular Season,2026-02-01
0022500710,2025-26,Regular Season,2026-02-01
0022500711,2025-26,Regular Season,2026-02-01
0022500712,2025-26,Regular Season,2026-02-02
0022500713,2025-26,Regular Season,2026-02-02
0022500714,2025-26,Regular Season,2026-02-02
0022500715,2025-26,Regular Season,2026-02-02
0022500716,2025-26,Regular Season,2026-02-04
0022500717,2025-26,Regular Season,2026-02-04
0022500718,2025-26,Regular Season,2026-02-04
0022500719,2025-26,Regular Season,2026-02-04
0022500720,2025-26,Regular Season,2026-02-04
0022500721,2025-26,Regular Season,2026-02-04
0022500722,2025-26,Regular Season,2026-02-04
0022500723,2025-26,Regular Season,2026-02-04
0022500724,2025-26,Regular Season,2026-02-04
0022500725,2025-26,Regular Season,2026-02-04
0022500643,2025-26,Regular Season,2026-01-24
0022500645,2025-26,Regular Season,2026-01-24
0022500646,2025-26,Regular Season,2026-01-24
0022500647,2025-26,Regular Season,2026-01-24
0022500648,2025-26,Regular Season,2026-01-24
0022500649,2025-26,Regular Season,2026-01-24
0022500644,2025-26,Regular Season,2026-01-25
0022500650,2025-26,Regular Season,2026-01-25
0022500653,2025-26,Regular Season,2026-01-25
0022500654,2025-26,Regular Season,2026-01-25
0022500655,2025-26,Regular Season,2026-01-25
0022500656,2025-26,Regular Season,2026-01-25
0022500657,2025-26,Regular Season,2026-01-26
0022500658,2025-26,Regular Season,2026-01-26
0022500659,2025-26,Regular Season,2026-01-26
0022500660,2025-26,Regular Season,2026-01-26
0022500661,2025-26,Regular Season,2026-01-26
0022500662,2025-26,Regular Season,2026-01-26
0022500663,2025-26,Regular Season,2026-01-26
0022500664,2025-26,Regular Season,2026-01-28
0022500665,2025-26,Regular Season,2026-01-28
0022500666,2025-26,Regular Season,2026-01-28
0022500667,2025-26,Regular Season,2026-01-28
0022500668,2025-26,Regular Season,2026-01-28
0022500669,2025-26,Regular Season,2026-01-28
0022500670,2025-26,Regular Season,2026-01-28
0022500671,2025-26,Regular Season,2026-01-29
0022500672,2025-26,Regular Season,2026-01-29
0022500673,2025-26,Regular Season,2026-01-29
0022500674,2025-26,Regular Season,2026-01-29
0022500675,2025-26,Regular Season,2026-01-29
0022500676,2025-26,Regular Season,2026-01-29
0022500677,2025-26,Regular Season,2026-01-29
0022500678,2025-26,Regular Season,2026-01-29
0022500679,2025-26,Regular Season,2026-01-29
0022500529,2025-26,Regular Season,2026-01-30
0022500680,2025-26,Regular Season,2026-01-30
0022500681,2025-26,Regular Season,2026-01-30
0022500682,2025-26,Regular Season,2026-01-30
0022500683,2025-26,Regular Season,2026-01-30
0022500684,2025-26,Regular Season,2026-01-30
0022500685,2025-26,Regular Season,2026-01-30
0022500686,2025-26,Regular Season,2026-01-30
0022500687,2025-26,Regular Season,2026-01-31
0022500688,2025-26,Regular Season,2026-01-31
0022500689,2025-26,Regular Season,2026-01-31
0022500690,2025-26,Regular Season,2026-01-31
0022500691,2025-26,Regular Season,2026-01-31
0022500693,2025-26,Regular Season,2026-01-31
0022500694,2025-26,Regular Season,2026-01-31
0022500695,2025-26,Regular Season,2026-01-31
0022500696,2025-26,Regular Season,2026-01-31
