player_id,player_name,team_abbr,def_fg_pct,def_fga,player_position,season
201572,Brook Lopez,MIL,0.477,1751,C,2023-24
203999,Nikola Jokić,DEN,0.511,1559,C,2023-24
203497,Rudy Gobert,MIN,0.435,1440,C,2023-24
203076,Anthony Davis,LAL,0.472,1438,F-C,2023-24
1627734,Domantas Sabonis,SAC,0.485,1407,F-C,2023-24
1631096,Chet Holmgren,OKC,0.455,1329,C-F,2023-24
1628386,Jarrett Allen,CLE,0.488,1278,C,2023-24
1630166,Deni Avdija,WAS,0.475,1255,F,2023-24
202696,Nikola Vučević,CHI,0.494,1228,C,2023-24
1629651,Nic Claxton,BKN,0.467,1196,C,2023-24
1629632,Coby White,CHI,0.506,1196,G,2023-24
1630559,Austin Reaves,LAL,0.494,1192,G,2023-24
203994,Jusuf Nurkić,PHX,0.473,1191,C,2023-24
1630578,Alperen Sengun,HOU,0.492,1189,C,2023-24
1641705,Victor Wembanyama,SAS,0.462,1187,F-C,2023-24
1626167,Myles Turner,IND,0.492,1155,C-F,2023-24
1628960,Grayson Allen,PHX,0.457,1152,G,2023-24
1627826,Ivica Zubac,LAC,0.458,1141,C,2023-24
1631094,Paolo Banchero,ORL,0.483,1131,F,2023-24
1629655,Daniel Gafford,DAL,0.488,1126,F-C,2023-24
1627783,Pascal Siakam,IND,0.5,1107,F,2023-24
1631110,Jeremy Sochan,SAS,0.481,1106,F,2023-24
1628404,Josh Hart,NYK,0.456,1092,G,2023-24
1629029,Luka Dončić,DAL,0.482,1087,F-G,2023-24
203992,Bogdan Bogdanović,ATL,0.479,1082,G,2023-24
204001,Kristaps Porziņģis,BOS,0.433,1078,F-C,2023-24
1631095,Jabari Smith Jr.,HOU,0.457,1077,F,2023-24
1641706,Brandon Miller,CHA,0.498,1076,F,2023-24
202331,Paul George,LAC,0.446,1050,F,2023-24
1628983,Shai Gilgeous-Alexander,OKC,0.451,1043,G,2023-24
1629028,Deandre Ayton,POR,0.47,1019,C,2023-24
1630567,Scottie Barnes,TOR,0.495,1013,F-G,2023-24
1628415,Dillon Brooks,HOU,0.488,1012,G-F,2023-24
1628401,Derrick White,BOS,0.453,1010,G,2023-24
1626156,D'Angelo Russell,LAL,0.488,1007,G,2023-24
201950,Jrue Holiday,BOS,0.451,1005,G,2023-24
1628389,Bam Adebayo,MIA,0.441,992,C-F,2023-24
1627749,Dejounte Murray,ATL,0.507,989,G,2023-24
1629622,Max Strus,CLE,0.432,982,G-F,2023-24
1628368,De'Aaron Fox,SAC,0.495,981,G,2023-24
1631099,Keegan Murray,SAC,0.488,975,F,2023-24
1628392,Isaiah Hartenstein,NYK,0.466,975,C-F,2023-24
202685,Jonas Valančiūnas,NOP,0.517,971,C,2023-24
1628970,Miles Bridges,CHA,0.48,969,F,2023-24
201935,James Harden,LAC,0.482,969,G,2023-24
1628380,Zach Collins,SAS,0.503,968,F-C,2023-24
203991,Clint Capela,ATL,0.494,964,C,2023-24
1627832,Fred VanVleet,HOU,0.471,964,G,2023-24
1627741,Buddy Hield,PHI,0.509,963,G,2023-24
203084,Harrison Barnes,SAC,0.488,954,F,2023-24
1629023,P.J. Washington,DAL,0.501,950,F,2023-24
201942,DeMar DeRozan,CHI,0.474,950,G-F,2023-24
203471,Dennis Schröder,BKN,0.481,949,G,2023-24
201142,Kevin Durant,PHX,0.442,943,F,2023-24
1628969,Mikal Bridges,BKN,0.466,931,G-F,2023-24
1627936,Alex Caruso,CHI,0.452,929,G,2023-24
1628991,Jaren Jackson Jr.,MEM,0.467,912,F-C,2023-24
203507,Giannis Antetokounmpo,MIL,0.462,911,F,2023-24
1629652,Luguentz Dort,OKC,0.446,908,G,2023-24
1631105,Jalen Duren,DET,0.492,907,C,2023-24
1630174,Aaron Nesmith,IND,0.454,903,G-F,2023-24
1629684,Grant Williams,CHA,0.483,901,F,2023-24
203482,Kelly Olynyk,TOR,0.523,900,F-C,2023-24
1630529,Herbert Jones,NOP,0.44,899,F,2023-24
1631117,Walker Kessler,UTA,0.463,897,C,2023-24
203081,Damian Lillard,MIL,0.453,892,G,2023-24
1630596,Evan Mobley,CLE,0.455,890,C,2023-24
1628973,Jalen Brunson,NYK,0.498,888,G,2023-24
1631170,Jaime Jaquez Jr.,MIA,0.476,886,G,2023-24
1630208,Nick Richards,CHA,0.536,879,C,2023-24
1630183,Jaden McDaniels,MIN,0.452,879,F,2023-24
1626164,Devin Booker,PHX,0.473,875,G,2023-24
1630173,Precious Achiuwa,NYK,0.475,874,F,2023-24
202699,Tobias Harris,PHI,0.463,873,F,2023-24
201143,Al Horford,BOS,0.465,873,C-F,2023-24
1627736,Malik Beasley,MIL,0.481,865,G,2023-24
1628398,Kyle Kuzma,WAS,0.492,865,F,2023-24
203932,Aaron Gordon,DEN,0.432,865,F,2023-24
1630162,Anthony Edwards,MIN,0.444,864,G,2023-24
1630552,Jalen Johnson,ATL,0.476,861,F,2023-24
1630595,Cade Cunningham,DET,0.496,855,G,2023-24
1641726,Dereck Lively II,DAL,0.482,851,C,2023-24
1628978,Donte DiVincenzo,NYK,0.495,851,G,2023-24
1630532,Franz Wagner,ORL,0.476,847,F,2023-24
203468,CJ McCollum,NOP,0.471,842,G,2023-24
1630194,Paul Reed,PHI,0.508,841,F,2023-24
1626157,Karl-Anthony Towns,MIN,0.47,839,C-F,2023-24
1631093,Jaden Ivey,DET,0.483,837,G,2023-24
1628374,Lauri Markkanen,UTA,0.495,836,F-C,2023-24
1629673,Jordan Poole,WAS,0.502,836,G,2023-24
203954,Joel Embiid,PHI,0.441,833,C-F,2023-24
1628381,John Collins,UTA,0.526,832,F-C,2023-24
202695,Kawhi Leonard,LAC,0.476,828,F,2023-24
1630224,Jalen Green,HOU,0.481,828,G,2023-24
1628971,Bruce Brown,TOR,0.513,827,G-F,2023-24
1627750,Jamal Murray,DEN,0.448,823,G,2023-24
1627777,Georges Niang,CLE,0.481,821,F,2023-24
201939,Stephen Curry,GSW,0.476,821,G,2023-24
1630581,Josh Giddey,OKC,0.471,820,G,2023-24
1626171,Bobby Portis,MIL,0.509,820,F,2023-24
1630560,Cam Thomas,BKN,0.493,814,G,2023-24
1630557,Corey Kispert,WAS,0.493,813,F,2023-24
1627752,Taurean Prince,LAL,0.502,811,F,2023-24
1630178,Tyrese Maxey,PHI,0.458,805,G,2023-24
1627827,Dorian Finney-Smith,BKN,0.461,805,F,2023-24
1628997,Caleb Martin,MIA,0.436,801,F,2023-24
202691,Klay Thompson,GSW,0.456,793,G,2023-24
203110,Draymond Green,GSW,0.43,789,F,2023-24
1629675,Naz Reid,MIN,0.475,787,C-F,2023-24
1641764,Brandin Podziemski,GSW,0.485,785,G,2023-24
1628369,Jayson Tatum,BOS,0.467,784,F-G,2023-24
1626220,Royce O'Neale,PHX,0.478,782,F,2023-24
1629008,Michael Porter Jr.,DEN,0.504,782,F,2023-24
1630245,Ayo Dosunmu,CHI,0.476,782,G,2023-24
203501,Tim Hardaway Jr.,DAL,0.49,781,G-F,2023-24
203952,Andrew Wiggins,GSW,0.471,780,F,2023-24
1641718,Keyonte George,UTA,0.495,778,G,2023-24
1630200,Tre Jones,SAS,0.49,777,G,2023-24
1626179,Terry Rozier,MIA,0.5,776,G,2023-24
