player_name,season,GAME_DATE,MATCHUP,MIN,PTS,REB,AST,STL,BLK,TOV,FGM,FGA,FG3M,FG3A,FTM,FTA
Nikola Jokic,2023-24,"Apr 14, 2024",DEN @ MEM,31,15,15,5,4,0,4,7,11,0,0,1,2
Nikola Jokic,2023-24,"Apr 12, 2024",DEN @ SAS,39,22,7,12,2,1,3,9,13,1,2,3,3
Nikola Jokic,2023-24,"Apr 10, 2024",DEN vs. MIN,38,41,11,7,3,0,2,16,20,2,2,7,12
Nikola Jokic,2023-24,"Apr 09, 2024",DEN @ UTA,34,28,13,7,3,1,5,12,20,2,2,2,2
Nikola Jokic,2023-24,"Apr 06, 2024",DEN vs. ATL,31,19,14,11,2,0,4,6,13,2,3,5,6
Nikola Jokic,2023-24,"Apr 04, 2024",DEN @ LAC,40,36,17,10,0,0,5,14,24,3,8,5,6
Nikola Jokic,2023-24,"Apr 02, 2024",DEN vs. SAS,38,42,16,6,1,2,4,18,32,1,6,5,6
Nikola Jokic,2023-24,"Mar 31, 2024",DEN vs. CLE,35,26,18,16,1,0,3,11,18,1,2,3,5
Nikola Jokic,2023-24,"Mar 29, 2024",DEN vs. MIN,37,32,10,5,2,1,4,11,24,0,3,10,13
Nikola Jokic,2023-24,"Mar 27, 2024",DEN vs. PHX,42,22,9,10,2,1,1,9,16,1,5,3,3
Nikola Jokic,2023-24,"Mar 25, 2024",DEN vs. MEM,31,29,11,8,3,1,4,11,18,1,2,6,7
Nikola Jokic,2023-24,"Mar 21, 2024",DEN vs. NYK,39,30,14,11,1,0,1,12,23,0,1,6,7
Nikola Jokic,2023-24,"Mar 19, 2024",DEN @ MIN,38,35,16,2,0,0,3,14,22,3,4,4,6
Nikola Jokic,2023-24,"Mar 17, 2024",DEN @ DAL,39,16,11,7,2,0,3,6,16,0,2,4,5
Nikola Jokic,2023-24,"Mar 15, 2024",DEN @ SAS,31,31,7,5,0,2,3,13,19,1,3,4,4
Nikola Jokic,2023-24,"Mar 13, 2024",DEN @ MIA,38,12,14,6,1,0,4,5,8,0,0,2,3
Nikola Jokic,2023-24,"Mar 11, 2024",DEN vs. TOR,38,35,17,12,6,2,2,14,26,1,3,6,6
Nikola Jokic,2023-24,"Mar 09, 2024",DEN vs. UTA,32,26,6,8,1,2,3,12,14,0,0,2,2
Nikola Jokic,2023-24,"Mar 07, 2024",DEN vs. BOS,39,32,12,11,2,0,0,11,19,0,0,10,10
