player_name,season,GAME_DATE,team_abbr,pts_ma_5,pts_ma_10,min_ma_5,min_ma_10,fga_ma_5,fga_ma_10,is_home,days_rest,team_pace,team_off_rating,team_def_rating,opp_pace,opp_off_rating,opp_def_rating,pace_diff,def_diff,usage_proxy,pace_x_min,def_x_usage,opp_def_x_fga,opp_pace_x_min,pts_per_min_10,pts_per_fga_10,proj_min,proj_pts_from_min,teammate_out_count,starter_out_count,player_status_q,player_status_d,player_status_o,opp_pos_def_fg_pct,off_matchup_pts_per_min,off_matchup_fga_per_min,off_matchup_fg_pct,off_matchup_fg3_pct,def_matchup_fg_pct_allowed,def_matchup_pts_per_min_allowed,etl_ts_pct_ma_5,etl_ts_pct_ma_10,etl_efg_pct_ma_5,etl_efg_pct_ma_10,etl_usg_pct_ma_5,etl_usg_pct_ma_10,etl_tov_pct_ma_5,etl_tov_pct_ma_10,etl_possessions_ma_5,etl_possessions_ma_10,etl_pace_ma_5,etl_pace_ma_10,opp_zone_rim_fg_pct,opp_zone_paint_fg_pct,opp_zone_mid_fg_pct,opp_zone_three_fg_pct,rapm,orapm,drapm,rapm_rank,br_pg_min,br_pg_pts,br_pg_fga,br_pg_3pa,br_pg_fta,br_pg_fg_pct,br_pg_3p_pct,br_pg_ft_pct,br_pg_efg_pct,br_pg_reb,br_pg_ast,br_pg_stl,br_pg_blk,br_pg_tov,br_adv_per,br_adv_ts_pct,br_adv_3par,br_adv_ftr,br_adv_orb_pct,br_adv_drb_pct,br_adv_trb_pct,br_adv_ast_pct,br_adv_stl_pct,br_adv_blk_pct,br_adv_tov_pct,br_adv_usg_pct,br_adv_bpm,br_adv_obpm,br_adv_dbpm,br_adv_vorp,br_p36_pts,br_p36_fga,br_p36_3pa,br_p36_fta,br_p36_trb,br_p36_ast,br_p36_stl,br_p36_blk,br_p36_tov,br_p100_pts,br_p100_fga,br_p100_3pa,br_p100_fta,br_p100_trb,br_p100_ast,br_p100_stl,br_p100_blk,br_p100_tov,br_p100_ortg,br_p100_drtg,br_shot_avg_dist,br_shot_pct_2p,br_shot_pct_0_3,br_shot_pct_3_10,br_shot_pct_10_16,br_shot_pct_16_3p,br_shot_pct_3p,br_shot_fg_2p,br_shot_fg_0_3,br_shot_fg_3_10,br_shot_fg_10_16,br_shot_fg_16_3p,br_shot_fg_3p,br_shot_ast_2p,br_shot_ast_3p,br_shot_dunks_pct,br_shot_corner3_share,br_shot_corner3_pct,br_pbp_pg_pct,br_pbp_sg_pct,br_pbp_sf_pct,br_pbp_pf_pct,br_pbp_c_pct,br_pbp_on_off_100,br_pbp_net_100,br_pbp_bad_pass_tov,br_pbp_lost_ball_tov,br_pbp_shoot_foul_drawn,br_pbp_off_foul_drawn,br_pbp_pts_ast,br_pbp_fga_blocked,br_team_pts_pg,br_team_fg_pct,br_team_3p_pct,br_team_ft_pct,br_team_trb_pg,br_team_ast_pg,br_team_tov_pg,br_team_pts_100,br_team_fg_pct_100,br_team_3p_pct_100,br_team_ft_pct_100,br_team_trb_100,br_team_ast_100,br_team_tov_100,br_opp_pts_pg,br_opp_fg_pct,br_opp_3p_pct,br_opp_ft_pct,br_opp_trb_pg,br_opp_ast_pg,br_opp_tov_pg,br_opp_pts_100,br_opp_fg_pct_100,br_opp_3p_pct_100,br_opp_ft_pct_100,br_opp_trb_100,br_opp_ast_100,br_opp_tov_100,display_pts_last10,display_min_last10,display_fga_last10
AJ Green,2025-26,2026-02-04,MIL,6.8,7.8,28.2,29.6,6.2,7.0,1.0,3.0,109.85931667516574,101.43743126614902,104.69895546411436,113.92853955375254,102.78702609363232,104.49752070212584,-4.0692228785868,3.0600894359768205,0.2364864784970784,-120.44899720616928,0.7236697746002692,731.4826449148809,3372.2847707910755,0.26351350461103024,1.1142855551020636,28.759999999999998,7.578648392613229,3.0,1.0,0.0,0.0,0.0,0.4727271179738426,0.877297417962646,0.6920157749832577,0.429,0.419,0.0,0.0,0.5648658895328221,0.5958615080214995,0.5341970778390365,0.5821428571428572,19.507015363100695,13.400768974007827,0.12554536537092253,0.08661305963453043,113.90907080438475,107.79714285714286,113.18257081490843,107.79714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.699999999999996,10.2,7.6,6.799999999999999,0.7,0.44099999999999995,0.43199999999999994,0.774,0.634,2.5,2.0,0.6,0.1,0.9000000000000001,9.4,0.644,0.8970000000000001,0.097,0.6,8.9,4.8,9.3,0.9,0.3,10.0,13.1,-2.9,-1.6,-1.4,-0.3,12.400000000000002,9.2,8.3,0.9000000000000001,3.1000000000000005,2.5,0.7,0.1,1.1,16.8,12.5,11.2,1.2,4.2,3.3999999999999995,0.9000000000000001,0.2,1.4,120.0,121.0,23.8,0.103,0.027999999999999997,0.022,0.034,0.019,0.897,0.515,0.556,0.571,0.545,0.333,0.43199999999999994,0.706,0.944,0.0,0.275,0.557,1.0,73.0,26.0,0.0,0.0,0.7,10.6,19.0,10.0,5.0,12.0,215.0,6.0,111.8,0.481,0.39,0.734,40.6,26.3,14.5,113.2,0.481,0.39,0.734,41.1,26.6,14.7,119.7,0.473,0.367,0.783,44.8,27.7,12.4,117.3,0.473,0.367,0.783,43.9,27.2,12.2,10.5,29.8,8.0
AJ Johnson,2025-26,2026-01-12,WAS,4.6,3.7142857142857144,12.0,10.142857142857142,4.8,3.857142857142857,0.0,4.0,115.9360495283019,95.94877371123034,106.86116838310426,113.50826109127996,100.83138489157938,98.76055808578386,2.427788437021931,2.811784374553511,0.38028165264828784,24.624711289793872,1.0692700088458416,380.9335811880234,1151.2980767829824,0.36619714699464756,0.9629627133059632,11.257142857142856,4.1223335975968896,0.0,0.0,0.0,0.0,1.0,0.4727271179738426,0.6567499298344092,1.077743474600056,0.266,0.286,0.0,0.0,0.40863387978142074,0.42066922148889363,0.37666666666666665,0.36944444444444446,19.793644454384822,18.42880559249232,0.14448979591836733,0.10320699708454809,117.848,116.92,117.848,116.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.7,2.7,0.8,0.2,0.258,0.211,0.75,0.29,1.1,0.6,0.2,0.0,0.5,1.3,0.306,0.306,0.065,4.5,12.3,8.4,11.3,1.5,0.0,14.7,19.1,-12.5,-8.7,-3.7,-0.4,8.6,13.7,4.2,0.9,5.7,3.1,1.1,0.0,2.4,11.4,18.1,5.5,1.2,7.6,4.1,1.5,0.0,3.2,71.0,123.0,11.4,0.694,0.242,0.41900000000000004,0.016,0.016,0.306,0.279,0.4,0.23100000000000004,0.0,0.0,0.211,0.583,0.75,0.081,0.105,0.0,39.0,61.0,0.0,0.0,0.0,-6.3,4.0,6.0,1.0,2.0,0.0,33.0,12.0,112.2,0.456,0.352,0.775,44.0,25.3,15.6,110.7,0.456,0.352,0.775,43.4,24.9,15.4,114.60580693558836,0.4688166194973915,0.3606035053022812,0.7821682749684591,43.95581205032905,26.5438196883418,14.278265761925871,114.8534558597879,0.4688166194973915,0.3606035053022812,0.7821682749684591,44.05266477989566,26.59809049681181,14.318610836430594,5.7,13.1,5.4
Aaron Gordon,2025-26,2026-01-23,DEN,17.8,18.9,27.0,28.5,13.4,13.5,0.0,2.0,110.3488934217236,109.7297679197586,105.04453765576696,115.9360495283019,95.94877371123034,106.86116838310426,-5.587156106578291,-2.8685995366543438,0.47368419390581773,-159.2339490374813,-1.358810259158715,1442.6257731719074,3304.177411556604,0.6631578714681448,1.399999896296304,27.6,18.303157252520798,4.0,2.0,0.0,0.0,1.0,0.4727271179738426,1.6724738675958188,1.2001548586914441,0.506,0.388,0.0,0.0,0.5654023695941716,0.6032289531965235,0.5488888888888889,0.5748232323232323,28.68904062479629,26.40365078792572,0.02906976744186046,0.03937839304751199,107.33599999999998,108.896,107.33599999999998,108.896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,17.7,11.9,4.6,4.7,0.509,0.4,0.789,0.586,6.2,2.5,0.7,0.2,1.0,20.6,0.632,0.385,0.399,5.6,18.7,12.5,13.5,1.2,0.6,7.0,23.6,2.8,3.8999999999999995,-1.1,0.8,22.8,15.3,5.9,6.1,8.0,3.3,0.9,0.2,1.3,31.2,20.9,8.1,8.4,10.9,4.5,1.2,0.3,1.8,128.0,118.0,13.8,0.615,0.278,0.158,0.099,0.081,0.385,0.577,0.789,0.41900000000000004,0.407,0.364,0.4,0.598,0.8100000000000002,0.10599999999999998,0.171,0.38900000000000007,0.0,0.0,0.0,70.0,30.0,13.3,12.1,15.0,5.0,53.0,1.0,140.0,9.0,120.1,0.496,0.398,0.814,42.5,28.0,12.5,122.2,0.496,0.398,0.814,43.2,28.5,12.8,122.7,0.475,0.362,0.791,47.7,28.7,13.4,121.0,0.475,0.362,0.791,47.0,28.3,13.2,18.7,29.5,13.5
Aaron Holiday,2025-26,2026-02-05,HOU,3.8,3.0,15.4,13.3,4.8,3.7,1.0,2.0,111.75204893086482,103.19300320893534,97.50882715831732,110.48368421052632,104.11268068905888,98.3385535921664,1.2683647203384965,-4.854449616768932,0.27819546780485205,16.869250780502004,-1.3504858820721177,363.8526482910157,1469.4330000000002,0.2255638928147449,0.810810591672813,14.56,3.2842102793826857,4.0,1.0,0.0,0.0,0.0,0.4727271179738426,0.9877559419693385,0.8704599238604795,0.383,0.383,0.0,0.0,0.4251561280249805,0.48988420504813945,0.40773809523809523,0.48214285714285715,13.191221651425273,14.199316539300433,0.0,0.1037037037037037,109.89,112.07777777777778,109.89000000000001,109.51928721174005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,5.7,4.7,3.2,1.0,0.396,0.382,0.839,0.527,0.8,1.0,0.4,0.1,0.7,9.699999999999998,0.563,0.685,0.208,1.0,5.900000000000001,3.5,9.699999999999998,1.5,0.9,11.4,17.8,-2.7000000000000006,-2.3,-0.4000000000000001,-0.10000000000000002,15.4,12.5,8.6,2.6,2.3,2.6,1.1,0.3,1.8,21.3,17.4,11.9,3.6,3.1,3.6,1.5,0.5,2.4,116.0,117.0,20.2,0.315,0.067,0.134,0.094,0.02,0.685,0.426,0.4,0.7,0.143,0.0,0.382,0.35,0.949,0.0,0.314,0.469,100.0,0.0,0.0,0.0,0.0,1.9,-5.2,11.0,4.0,9.0,8.0,74.0,6.0,116.0,0.473,0.37,0.753,49.2,25.1,15.3,118.8,0.473,0.37,0.753,50.5,25.7,15.7,109.7,0.446,0.363,0.794,42.3,25.6,13.6,114.4,0.446,0.363,0.794,44.1,26.6,14.2,3.3,13.2,4.1
Aaron Nesmith,2025-26,2026-02-03,IND,13.6,14.1,31.4,31.8,9.6,11.4,1.0,2.0,114.26036398467434,95.10746675078406,104.273693815465,111.75204893086482,103.19300320893534,97.50882715831732,2.5083150538095254,2.401360407533261,0.35849055476444797,79.76441871114291,0.8608650246859796,1111.6006296048174,3553.7151560015013,0.4433962124718172,1.2368419967682458,31.560000000000002,13.993584465610551,4.0,0.0,0.0,0.0,0.0,0.4727271179738426,1.071488178025035,1.0848400556328235,0.36,0.337,0.0,0.0,0.4452085879248357,0.475116739949618,0.37542087542087543,0.4268581959298871,20.00727151549824,21.255072217633575,0.21165932662153034,0.15221301392319697,115.59999999999998,112.87000000000002,115.59999999999998,112.86999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,13.8,11.9,6.7,2.7,0.383,0.36900000000000005,0.816,0.487,4.9,2.3,0.6,0.5,1.5,10.8,0.527,0.56,0.228,4.6,12.7,8.5,11.0,1.0,1.5,10.0,20.1,-3.1000000000000005,-1.8000000000000003,-1.3000000000000003,-0.2,16.3,14.0,7.9,3.2,5.7,2.7,0.8,0.6,1.7,21.5,18.5,10.4,4.2,7.6,3.6,1.0,0.8,2.3,106.0,119.0,17.4,0.44,0.162,0.147,0.075,0.057,0.56,0.4010000000000001,0.5,0.388,0.36,0.211,0.36900000000000005,0.8310000000000001,0.971,0.036,0.246,0.413,0.0,29.0,68.0,4.0,0.0,-4.5,4.5,15.0,13.0,32.0,18.0,157.0,26.0,110.7,0.445,0.344,0.769,43.1,25.6,14.4,109.3,0.445,0.344,0.769,42.6,25.3,14.2,109.9,0.46,0.345,0.751,39.4,24.4,13.4,112.7,0.46,0.345,0.751,40.4,25.0,13.8,13.3,31.6,11.1
Aaron Wiggins,2025-26,2026-02-04,OKC,10.6,9.2,26.4,24.3,9.2,8.2,1.0,2.0,111.72666851008458,106.4179878099428,94.8776512204254,112.98045894951557,102.0485617109088,102.61693967203632,-1.2537904394309862,-3.801048137906477,0.3374485457840104,-30.467107678172965,-1.2826581665915613,841.4589053106978,2745.4251524732285,0.3786008074649873,1.1219510826888925,25.56,9.677036638805076,5.0,2.0,0.0,0.0,0.0,0.4727271179738426,1.2828628641560624,1.120082681997287,0.446,0.4,0.0,0.0,0.5648658895328221,0.49740802654305266,0.5341970778390365,0.4799603174603175,19.507015363100695,18.04535136983108,0.12554536537092253,0.10427822274512168,113.90907080438475,112.66857142857143,113.18257081490843,110.84431266846363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,10.5,8.8,4.9,1.1,0.443,0.382,0.744,0.549,3.4,1.9,0.9,0.6,1.3,12.7,0.565,0.554,0.131,3.0,12.2,7.799999999999999,10.599999999999998,1.8000000000000003,2.7,12.3,19.3,0.3,-0.3,0.6,0.5,15.9,13.3,7.4,1.7,5.2,2.8,1.3,1.0,2.0,21.2,17.8,9.8,2.3,6.9,3.8,1.8,1.3,2.6,107.0,109.0,15.8,0.446,0.228,0.174,0.037,0.007,0.554,0.519,0.676,0.346,0.364,0.5,0.382,0.667,0.889,0.04,0.315,0.385,3.0,33.0,47.0,17.0,0.0,9.1,-4.7,23.0,17.0,21.0,0.0,145.0,13.0,120.3,0.49,0.358,0.827,43.6,25.5,12.3,119.4,0.49,0.358,0.827,43.3,25.3,12.2,115.7,0.482,0.366,0.784,43.2,25.5,15.0,115.2,0.482,0.366,0.784,43.0,25.4,15.0,10.3,24.6,8.4
Ace Bailey,2025-26,2026-01-25,UTA,16.0,12.7,29.8,26.0,13.8,11.5,1.0,0.0,115.47974924827236,100.98604065039336,107.86058338375656,117.31474600870828,100.52384264592555,99.9859042279357,-1.8349967604359279,-1.0001364224576577,0.4423076752958586,-47.709915771334124,-0.4423680159959633,1149.8378986212606,3050.1833962264154,0.48846151967455687,1.104347730056719,28.28,13.81369177639647,0.0,0.0,0.0,0.0,0.0,0.4727271179738426,1.2386885544086217,1.085898776772316,0.475,0.372,0.0,0.0,0.574538797223737,0.5274591200335784,0.5617647058823529,0.5196644042232277,21.612549263816753,19.13094694893537,0.11139727099440813,0.06998434978291834,117.576,119.35999999999999,117.576,116.88622641509434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,11.3,10.1,4.4,0.9000000000000001,0.456,0.35,0.722,0.532,3.5,1.6,0.7,0.4,1.2,11.0,0.542,0.433,0.085,6.4,8.8,7.6,9.4,1.4,1.7,10.2,19.3,-4.5,-1.7,-2.8,-0.6,16.3,14.5,6.299999999999999,1.2,5.0,2.3,1.1,0.6,1.6999999999999997,21.4,19.0,8.2,1.6,6.5,3.1000000000000005,1.4,0.8,2.2,107.0,126.0,15.8,0.567,0.154,0.182,0.102,0.13,0.433,0.538,0.723,0.545,0.372,0.43600000000000005,0.35,0.744,0.9380000000000001,0.125,0.333,0.295,0.0,4.0,73.0,23.0,0.0,-12.0,-5.7,21.0,12.0,17.0,2.0,167.0,13.0,118.4,0.468,0.351,0.801,43.6,30.3,15.7,115.0,0.468,0.351,0.801,42.3,29.5,15.3,118.4,0.462,0.352,0.808,47.3,27.3,15.9,113.3,0.462,0.352,0.808,45.3,26.2,15.2,16.3,32.0,15.0
Adem Bona,2025-26,2026-02-03,PHI,2.6,2.9,13.0,13.6,3.2,2.6,0.0,2.0,114.20838667702058,100.41777463278916,99.59790538758688,109.35,101.95312884267886,103.99147734248233,4.85838667702059,3.5737027096931655,0.19117645653114293,66.07405880748003,0.6832078207348832,270.37784109045407,1487.1599999999999,0.21323527843858248,1.1153841863906975,13.24,2.823235086526832,0.0,0.0,0.0,0.0,0.0,0.4727271179738426,0.6533502571982097,0.45694435166009756,0.614,0.0,0.0,0.0,0.5648658895328221,0.4831130408053485,0.5341970778390365,0.4666666666666666,19.507015363100695,10.860977850714276,0.12554536537092253,0.3433803007875617,113.90907080438475,113.54,113.18257081490843,111.9278706199461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,3.9,2.5,0.1,1.6,0.557,0.4,0.656,0.567,3.9,0.2,0.3,1.4,0.8,11.4,0.607,0.052000000000000005,0.66,11.2,15.4,13.299999999999999,1.8,1.0,7.7,19.3,10.3,-3.4,-4.0,0.6,-0.2,8.6,5.5,0.3,3.6,8.7,0.5,0.7,3.0,1.7,11.6,7.4,0.4,4.9,11.7,0.7,1.0,4.1,2.3,117.0,113.0,2.9,0.9480000000000001,0.763,0.175,0.01,0.0,0.052,0.565,0.622,0.353,0.0,0.0,0.4,0.596,1.0,0.361,0.8,0.25,0.0,0.0,0.0,7.0,93.0,-0.1,-1.0,6.0,10.0,23.0,5.0,23.0,11.0,116.7,0.46,0.359,0.812,43.6,24.9,13.9,115.9,0.46,0.359,0.812,43.3,24.8,13.8,113.0,0.468,0.366,0.802,42.1,26.3,13.7,117.0,0.468,0.366,0.802,43.6,27.2,14.2,3.5,12.6,3.0
Ajay Mitchell,2025-26,2026-01-22,OKC,14.2,14.0,27.0,25.0,11.4,10.0,0.0,6.0,111.72666851008458,106.4179878099428,94.8776512204254,109.85931667516574,101.43743126614902,104.69895546411436,1.8673518349188356,-1.7190323458284382,0.39999998400000064,46.68379587297089,-0.6876129108268588,1046.9895546411435,2746.4829168791434,0.5599999776000009,1.399999860000014,26.2,14.671999413120023,5.0,2.0,0.0,0.0,1.0,0.4727271179738426,1.5196885160358047,1.1993738208967206,0.494,0.346,0.0,0.0,0.6014938439230415,0.6488436282772242,0.5677777777777778,0.6082478632478632,21.195405804634635,21.316480285647437,0.09064437814437813,0.08410310428187483,116.316,114.91600000000001,113.76203773584908,113.63901886792453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,14.1,10.6,3.1999999999999997,3.0,0.487,0.35,0.8699999999999999,0.539,3.5,3.6999999999999997,1.4,0.3,1.5999999999999999,17.3,0.59,0.3,0.287,2.9,11.0,7.2,19.8,2.6,1.2,11.7,22.3,1.9,0.4,1.6,1.1,19.3,14.5,4.4,4.2,4.8,5.0,1.9000000000000001,0.39999999999999997,2.2,25.8,19.4,5.8,5.6,6.3999999999999995,6.7,2.6,0.6,2.9,117.0,108.0,12.0,0.7,0.20599999999999996,0.351,0.10099999999999999,0.042,0.3,0.545,0.723,0.47500000000000003,0.565,0.21100000000000002,0.35,0.328,0.771,0.009,0.292,0.39999999999999997,16.0,42.0,39.0,3.0,0.0,16.0,7.3,38.0,21.0,58.0,19.0,381.0,21.0,120.3,0.49,0.358,0.827,43.6,25.5,12.3,119.4,0.49,0.358,0.827,43.3,25.3,12.2,115.8,0.467,0.367,0.778,45.0,27.1,13.6,117.2,0.467,0.367,0.778,45.6,27.4,13.8,14.2,25.3,9.9
Al Horford,2025-26,2026-01-25,GSW,6.8,6.7,21.8,18.7,6.2,6.4,0.0,0.0,113.23222821203952,102.02830578421396,98.8764557340876,113.65654716981132,104.65085658881264,100.30598276484508,-0.42431895777180273,-1.722323019368872,0.3422459710028893,-7.934764510332711,-0.5894581141445278,641.9582896950086,2125.3774320754715,0.3582887508936497,1.0468748364258067,20.560000000000002,7.366416718373439,0.0,0.0,0.0,0.0,0.0,0.4727271179738426,0.870983526341543,0.8073723699233404,0.394,0.345,0.0,0.0,0.528968253968254,0.516446803946804,0.5289682539682541,0.5070436507936509,14.221619158307561,17.452130716636304,0.12857142857142853,0.10357142857142856,114.228,113.952,114.228,112.7244528301887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7.2,6.3,4.3,0.4,0.418,0.352,1.0,0.538,5.0,2.3,0.8,1.1,0.9,14.8,0.557,0.687,0.071,5.3,22.6,13.8,15.8,2.0,5.0,12.6,15.6,2.2,0.1,2.0,0.6,13.0,11.3,7.8,0.8,9.1,4.1,1.5,2.0,1.7,17.3,15.0,10.3,1.1,12.1,5.5,2.0,2.6,2.2,115.0,109.0,19.6,0.313,0.06,0.181,0.049,0.022,0.687,0.561,0.636,0.515,0.556,0.75,0.352,0.781,1.0,0.016,0.256,0.375,0.0,0.0,0.0,2.0,98.0,1.8,-1.4,16.0,2.0,6.0,0.0,168.0,3.0,116.7,0.461,0.364,0.813,42.9,28.9,15.5,115.8,0.461,0.364,0.813,42.6,28.7,15.4,114.1,0.46,0.35,0.772,43.2,26.0,15.0,112.5,0.46,0.35,0.772,42.6,25.6,14.8,8.9,22.6,6.9
